Step,Pop_Mean_DA,Pop_Mean_5HT,Pop_Mean_NA,NPC2_DA,NPC2_5HT,NPC2_NA,Distance_NPC2_to_Mean,Divergence_2_9,Divergence_2_6
0,0.46699999999999997,0.5358181818181819,0.6574545454545454,0.444,0.583,0.742,0.09951410880493111,0.22251516802231705,0.07333484846919644
1,0.47054545454545454,0.5375454545454545,0.6511818181818182,0.445,0.582,0.741,0.10342186734258907,0.22149266353538663,0.06729784543356497
2,0.4712727272727273,0.5427272727272727,0.6388181818181817,0.446,0.581,0.74,0.1110912810587435,0.21987269043698898,0.0630317380372777
3,0.47054545454545454,0.5465454545454546,0.6368181818181818,0.447,0.581,0.739,0.11037494325784972,0.21911868929874512,0.06208059278067503
4,0.4691818181818182,0.5479090909090909,0.6390909090909092,0.447,0.58,0.738,0.10632435171960854,0.21822465488573922,0.06459102104782055
5,0.4686363636363637,0.5465454545454547,0.6415454545454546,0.448,0.579,0.737,0.10291125921262087,0.21660332407421634,0.07004998215560085
6,0.4684545454545454,0.543,0.645909090909091,0.449,0.579,0.736,0.09894873035905714,0.21585643377022606,0.07900632886041473
7,0.4687272727272727,0.539909090909091,0.650090909090909,0.45,0.578,0.735,0.09492724486775023,0.21423585134145964,0.08896066546513692
8,0.4687272727272727,0.5367272727272728,0.6541818181818182,0.45,0.577,0.734,0.09134300988332625,0.21384573879317773,0.10002499687578095
9,0.4690000000000001,0.5340909090909092,0.6580909090909091,0.451,0.577,0.733,0.08818481719361371,0.21236289694765417,0.11303096920755829
10,0.46936363636363637,0.5313636363636365,0.6619090909090908,0.452,0.576,0.732,0.084891909883312,0.2107439204342559,0.12715345060201863
11,0.4694545454545454,0.5290000000000001,0.6651818181818181,0.453,0.575,0.731,0.08196819580768465,0.2097498510130579,0.14156623891309678
12,0.4757272727272727,0.5261818181818182,0.6799090909090908,0.453,0.575,0.731,0.0742295412446314,0.2097498510130579,0.154770798279262
13,0.4771818181818182,0.5240909090909092,0.684909090909091,0.454,0.574,0.73,0.07114424876426331,0.20802403707264214,0.16985287751463032
14,0.4776363636363637,0.521909090909091,0.6923636363636364,0.455,0.574,0.729,0.06758765352555815,0.2075427666771357,0.18604569331215387
15,0.47754545454545455,0.5196363636363636,0.7016363636363637,0.455,0.573,0.728,0.06364759641122056,0.2065574980483642,0.2017944498741232
16,0.47881818181818186,0.5219090909090909,0.7018181818181817,0.456,0.572,0.727,0.06053009633218402,0.20557723609388268,0.21826589289213277
17,0.4799999999999999,0.5181818181818182,0.7103636363636363,0.456,0.572,0.726,0.060966323179140976,0.20548965910721637,0.23460179027449896
18,0.4809090909090909,0.5159090909090909,0.7175454545454545,0.457,0.571,0.725,0.06051630474918198,0.2031501907456648,0.25116926563574615
19,0.48209090909090907,0.5143636363636364,0.7234545454545455,0.458,0.571,0.724,0.061549550018160246,0.20242776489404804,0.2678917691904699
20,0.48254545454545444,0.5127272727272727,0.7282727272727272,0.458,0.57,0.724,0.062457191951337934,0.2021830853459309,0.2802748650878277
21,0.5035454545454546,0.5205454545454544,0.7308181818181818,0.459,0.57,0.723,0.06701621858713772,0.20146215525502548,0.28125966650054895
22,0.499,0.5219090909090909,0.7031818181818181,0.46,0.569,0.722,0.06397403915613278,0.2005018703154661,0.2822445747928559
23,0.4950909090909091,0.5224545454545454,0.6958181818181818,0.46,0.569,0.721,0.06349783623566688,0.19907033932758536,0.2830653634763533
24,0.4913636363636363,0.5253636363636364,0.6887272727272727,0.461,0.568,0.72,0.06097371063359797,0.2192920427192924,0.2840070421662111
25,0.48754545454545456,0.5239999999999999,0.6859090909090909,0.461,0.568,0.72,0.061667262300749356,0.21420317457964994,0.2838908240855981
26,0.4846363636363636,0.5227272727272727,0.6839090909090909,0.461,0.568,0.72,0.06253679908397465,0.21524637046881878,0.28373403038761497
27,0.48245454545454547,0.5245454545454545,0.6825454545454547,0.461,0.567,0.719,0.05993012460116138,0.21897031762318833,0.2845241641759097
28,0.48472727272727273,0.5272727272727273,0.6801818181818182,0.498,0.568,0.693,0.04471221106344223,0.1910942175995914,0.31731057341349345
29,0.4862727272727273,0.5276363636363637,0.677909090909091,0.526,0.547,0.669,0.045084127055946145,0.16363984844774213,0.34762911270490565
30,0.4848181818181818,0.528909090909091,0.6753636363636364,0.521,0.539,0.638,0.052981050721339906,0.1724818831066034,0.3758576858333484
31,0.4844545454545455,0.5308181818181819,0.6744545454545455,0.517,0.532,0.613,0.06955044545371313,0.18853646862079498,0.3990964795635261
32,0.4898181818181817,0.5347272727272728,0.667,0.514,0.526,0.593,0.07833853215266882,0.20724381776062709,0.4179222415713239
33,0.4915454545454546,0.533,0.6637272727272726,0.513,0.524,0.584,0.08305260704631774,0.22535305633605243,0.42640121951045123
34,0.49200000000000005,0.5247272727272728,0.6641818181818182,0.513,0.523,0.582,0.08484005369366411,0.23905857022913865,0.428214899320423
35,0.4940909090909091,0.5197272727272728,0.6619090909090909,0.512,0.521,0.573,0.09070381369149715,0.2554623259895674,0.4366760813234451
36,0.49281818181818177,0.519,0.6612727272727272,0.51,0.519,0.566,0.09680964537697953,0.2676919871792953,0.44309592640871803
37,0.4933636363636364,0.521,0.6640909090909092,0.509,0.513,0.55,0.11543496612794013,0.2714332330426766,0.4588921441907673
38,0.4967272727272727,0.5165454545454545,0.6643636363636364,0.506,0.5,0.502,0.16346769084566293,0.29096735212047414,0.5065935254225028
39,0.4980909090909091,0.5130909090909092,0.667,0.503,0.501,0.502,0.16551522363878907,0.2919811637760216,0.5059446610055294
40,0.5007272727272727,0.5028181818181817,0.6754545454545455,0.5,0.498,0.502,0.17352297582883916,0.29128165064075007,0.5049495024257377
41,0.5016363636363637,0.4996363636363635,0.6621818181818182,0.5,0.498,0.502,0.16019853385076246,0.289932750823359,0.5049495024257377
42,0.5064545454545454,0.4977272727272727,0.6453636363636364,0.5,0.499,0.501,0.14451346129640577,0.2909106392004253,0.43323550177703585
43,0.5087272727272727,0.4959999999999999,0.6362727272727273,0.498,0.498,0.506,0.13072894802315088,0.2874682591174198,0.3620883869996385
44,0.5102727272727273,0.49645454545454554,0.616090909090909,0.489,0.49,0.525,0.093764299184993,0.27598913022073895,0.2958293426960888
45,0.5135454545454545,0.4991818181818182,0.5988181818181819,0.486,0.488,0.531,0.07404789604769955,0.2725729260216429,0.2589903473104741
46,0.5155454545454545,0.5008181818181818,0.5779090909090908,0.478,0.482,0.441,0.14320574114720624,0.3324018652173902,0.32656546051289626
47,0.5165454545454545,0.5017272727272727,0.5614545454545454,0.481,0.486,0.343,0.22188558960877344,0.40939467509971356,0.408806800334828
48,0.5228181818181817,0.502,0.5490909090909092,0.484,0.489,0.278,0.2741644255395017,0.47332652577264245,0.46542131450976754
49,0.5289999999999999,0.5037272727272728,0.5349090909090909,0.487,0.492,0.234,0.30405231444170155,0.5112856344549492,0.5063062314449626
50,0.5329090909090909,0.5061818181818182,0.5437272727272727,0.498,0.521,0.212,0.33388801507626814,0.5369068820568423,0.5361995897051769
51,0.5360909090909091,0.507818181818182,0.5519090909090909,0.516,0.569,0.185,0.37251730227717983,0.5738597389606627,0.5474614141654185
52,0.5356363636363636,0.5061818181818182,0.5567272727272727,0.529,0.604,0.175,0.3941169227022998,0.5937979454326193,0.5560071941980608
53,0.5327272727272727,0.5032727272727273,0.5586363636363636,0.534,0.615,0.186,0.389027586181131,0.5882660962523678,0.5456528200238683
54,0.5299090909090909,0.49981818181818194,0.5598181818181819,0.534,0.61,0.211,0.36582904827526136,0.56408244078326,0.5200586505385715
55,0.536,0.498,0.5561818181818182,0.533,0.605,0.234,0.33949834162620324,0.5422416435501796,0.49702816821584667
56,0.5265454545454545,0.4860909090909092,0.5734545454545453,0.479,0.56,0.345,0.2447745969372334,0.4689232346557377,0.38157699092057423
57,0.5178181818181818,0.47536363636363627,0.5975454545454545,0.397,0.481,0.526,0.1405259894788443,0.3998674780474151,0.22406695427929565
58,0.5144545454545454,0.4688181818181818,0.6128181818181818,0.35,0.425,0.655,0.17534148500465127,0.3722163349451499,0.1745050142546053
59,0.5122727272727272,0.46936363636363637,0.6197272727272726,0.339,0.403,0.703,0.20337629496913323,0.37449432572470315,0.17252536045462993
60,0.5137272727272727,0.4762727272727272,0.6189090909090909,0.349,0.406,0.687,0.19159776219815,0.3918788077964921,0.15678328992593563
61,0.5183636363636364,0.48100000000000004,0.6176363636363637,0.358,0.41,0.674,0.18421279915331845,0.3863858175451061,0.1495794103478149
62,0.5047272727272728,0.47872727272727283,0.6011818181818183,0.366,0.413,0.662,0.16511869009346533,0.3822015175270763,0.1388452375848736
63,0.5036363636363637,0.48190909090909084,0.5902727272727273,0.373,0.416,0.652,0.15880845055267728,0.37874925742501464,0.225904847225552
64,0.5080909090909091,0.48772727272727273,0.58,0.379,0.419,0.643,0.15923850296472367,0.3657157366042648,0.3095383659580828
65,0.5112727272727272,0.4937272727272728,0.5733636363636362,0.385,0.422,0.635,0.15776135340475245,0.34370045097439134,0.36683783883345517
66,0.5130909090909092,0.504,0.5654545454545454,0.39,0.424,0.628,0.15957225882064835,0.3274889311106561,0.40501481454386334
67,0.5081818181818183,0.509,0.559,0.389,0.424,0.663,0.17956977971007257,0.3061780527732189,0.5194959095122886
68,0.5007272727272727,0.5151818181818182,0.5568181818181818,0.355,0.436,0.685,0.20961101321138678,0.33531477748527583,0.5976738240880222
69,0.5229999999999999,0.49418181818181817,0.577,0.309,0.421,0.714,0.2644249960052882,0.37561682603419144,0.6240464726284413
70,0.5105454545454545,0.4874545454545455,0.5435454545454546,0.267,0.412,0.74,0.32187290238424265,0.41687168289534854,0.6482306688209066
71,0.509,0.49399999999999994,0.5367272727272726,0.233,0.415,0.746,0.3552633873341937,0.4520508820918283,0.6534975133847105
72,0.5177272727272726,0.49945454545454543,0.5431818181818181,0.216,0.423,0.729,0.36250936722009547,0.4695806639971455,0.5994113779367223
73,0.5271818181818182,0.5021818181818182,0.5513636363636363,0.2,0.43,0.714,0.3724362278318973,0.4875992206720598,0.5736148533641715
74,0.5287272727272728,0.5039090909090909,0.5434545454545454,0.185,0.436,0.699,0.38334641132320546,0.5049752469181039,0.5687960970330229
75,0.5232727272727272,0.504090909090909,0.5335454545454544,0.172,0.442,0.686,0.38793066177747215,0.5204747832508315,0.5756752556780604
76,0.5153636363636364,0.5025454545454545,0.5197272727272727,0.152,0.447,0.671,0.39749448772101864,0.5501945110594979,0.5768769366164677
77,0.5078181818181817,0.4983636363636364,0.4974545454545455,0.134,0.451,0.657,0.40919200770977143,0.569506804173576,0.576116307701839
78,0.5000909090909093,0.49536363636363645,0.4796363636363637,0.121,0.454,0.646,0.41605014994917067,0.5827023253772031,0.5650893734622869
79,0.49445454545454537,0.49372727272727274,0.4737272727272728,0.116,0.455,0.637,0.4139874733602135,0.5876954993872251,0.549801782463462
80,0.4977272727272727,0.4932727272727273,0.4746363636363636,0.124,0.455,0.635,0.4084768927379203,0.5804911713368257,0.5295592506981631
81,0.502090909090909,0.4910909090909092,0.47854545454545455,0.135,0.455,0.634,0.4002804079126003,0.5702543292251273,0.5171411799499243
82,0.5262727272727272,0.5084545454545455,0.4626363636363637,0.187,0.457,0.623,0.37877440460883416,0.5215266052657334,0.4626651056649939
83,0.5328181818181819,0.5115454545454546,0.46263636363636357,0.244,0.465,0.601,0.32361538491760855,0.47057943006468095,0.39923677185349543
84,0.5329090909090909,0.5104545454545455,0.4706363636363636,0.29,0.471,0.583,0.2705310968819764,0.4317290817167636,0.34819247550744115
85,0.5340909090909091,0.5126363636363636,0.4761818181818182,0.329,0.477,0.568,0.22751441694397156,0.39254426501988277,0.32225766088644037
86,0.5321818181818181,0.5114545454545453,0.48472727272727273,0.36,0.481,0.555,0.1884471120754753,0.34565011210760516,0.2739142201493015
87,0.5273636363636363,0.5065454545454545,0.4852727272727273,0.374,0.483,0.55,0.16812023442506993,0.3141878419035338,0.2457376650007076
88,0.5239999999999999,0.5052727272727272,0.48145454545454547,0.378,0.483,0.549,0.16240216380922187,0.2915801776527341,0.23481694998445063
89,0.5262727272727273,0.5022727272727272,0.4738181818181818,0.382,0.483,0.549,0.16382418513871405,0.27178668105703774,0.22997608571327582
90,0.5332727272727273,0.5,0.4569090909090909,0.385,0.483,0.548,0.17484666245570962,0.2565345980564804,0.22276669409945463
91,0.5355454545454545,0.5075454545454545,0.43572727272727274,0.403,0.501,0.46,0.13490850894263104,0.3028415427249042,0.17362603491412218
92,0.5351818181818181,0.5084545454545455,0.4280909090909091,0.406,0.501,0.46,0.13327303733065746,0.29274049941885383,0.16645119404798506
93,0.5339090909090909,0.5081818181818182,0.4345454545454545,0.41,0.501,0.461,0.12690502077349292,0.2830070670495703,0.15865371095565334
94,0.5322727272727273,0.5063636363636363,0.4436363636363636,0.413,0.5,0.461,0.12069786744848308,0.27537065929397775,0.15181567771478674
